Movie ID,Title,Genres,Predicted Rating
1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,4.29
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.29
923,Citizen Kane (1941),Drama,4.27
3307,City Lights (1931),Comedy|Drama|Romance,4.27
1178,Paths of Glory (1957),Drama|War,4.26
3730,"Conversation, The (1974)",Drama|Mystery,4.26
593,"Silence of the Lambs, The (1991)",Drama|Thriller,4.26
1211,Wings of Desire (Der Himmel über Berlin) (1987),Comedy|Drama|Romance,4.26
3030,Yojimbo (1961),Comedy|Drama|Western,4.26
858,"Godfather, The (1972)",Action|Crime|Drama,4.25
