Movie ID,Title,Genres,Predicted Rating
1100,Days of Thunder (1990),Action|Romance,4.25
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller,4.24
2948,From Russia with Love (1963),Action,4.24
517,Rising Sun (1993),Action|Drama|Mystery,4.24
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,4.23
876,Police Story 4: Project S (Chao ji ji hua) (1993),Action,4.23
1134,Johnny 100 Pesos (1993),Action|Drama,4.22
858,"Godfather, The (1972)",Action|Crime|Drama,4.21
1833,Mercury Rising (1998),Action|Drama|Thriller,4.21
284,New York Cop (1996),Action|Crime,4.21
1220,"Blues Brothers, The (1980)",Action|Comedy|Musical,4.21
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.21
2376,"View to a Kill, A (1985)",Action,4.2
3266,Man Bites Dog (C'est arrivé près de chez vous) (1992),Action|Comedy|Crime|Drama,4.2
3555,U-571 (2000),Action|Thriller,4.2
1112,Palookaville (1996),Action|Drama,4.2
1222,Full Metal Jacket (1987),Action|Drama|War,4.2
546,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi,4.2
1205,"Transformers: The Movie, The (1986)",Action|Animation|Children's|Sci-Fi|Thriller|War,4.2
2986,Robocop 2 (1990),Action|Crime|Sci-Fi,4.2
465,Heaven & Earth (1993),Action|Drama|War,4.19
1049,"Ghost and the Darkness, The (1996)",Action|Adventure,4.19
2817,Aces: Iron Eagle III (1992),Action|War,4.19
2476,Heartbreak Ridge (1986),Action|War,4.19
1201,"Good, The Bad and The Ugly, The (1966)",Action|Western,4.19
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,4.19
1214,Alien (1979),Action|Horror|Sci-Fi|Thriller,4.19
1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Thriller,4.19
2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,4.19
2720,Inspector Gadget (1999),Action|Adventure|Children's|Comedy,4.19
1954,Rocky (1976),Action|Drama,4.19
1586,G.I. Jane (1997),Action|Drama|War,4.19
2944,"Dirty Dozen, The (1967)",Action|War,4.19
861,Supercop (1992),Action|Thriller,4.19
3267,"Mariachi, El (1992)",Action|Thriller,4.19
1667,Mad City (1997),Action|Drama,4.19
1518,Breakdown (1997),Action|Thriller,4.18
1752,Hard Rain (1998),Action|Thriller,4.18
2625,Black Mask (Hak hap) (1996),Action,4.18
1627,U Turn (1997),Action|Crime|Mystery,4.18
552,"Three Musketeers, The (1993)",Action|Adventure|Comedy,4.18
2949,Dr. No (1962),Action,4.18
2893,Plunkett & MaCleane (1999),Action|Drama,4.18
1170,Best of the Best 3: No Turning Back (1995),Action,4.18
2892,New Rose Hotel (1998),Action|Drama,4.18
504,No Escape (1994),Action|Sci-Fi,4.18
1785,King of New York (1990),Action|Crime,4.18
1200,Aliens (1986),Action|Sci-Fi|Thriller|War,4.18
653,Dragonheart (1996),Action|Adventure|Fantasy,4.17
1832,Heaven's Burning (1997),Action|Drama,4.17
