Movie ID,Title,Genres,Predicted Rating
1204,Lawrence of Arabia (1962),Adventure|War,4.24
1198,Raiders of the Lost Ark (1981),Action|Adventure,4.23
2905,Sanjuro (1962),Action|Adventure,4.22
1262,"Great Escape, The (1963)",Adventure|War,4.22
1216,"Big Blue, The (Le Grand Bleu) (1988)",Adventure|Romance,4.21
590,Dances with Wolves (1990),Adventure|Drama|Western,4.19
1254,"Treasure of the Sierra Madre, The (1948)",Adventure,4.19
1274,Akira (1988),Adventure|Animation|Sci-Fi|Thriller,4.19
919,"Wizard of Oz, The (1939)",Adventure|Children's|Drama|Musical,4.19
1275,Highlander (1986),Action|Adventure,4.19
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,4.18
1615,"Edge, The (1997)",Adventure|Thriller,4.18
3104,Midnight Run (1988),Action|Adventure|Comedy|Crime,4.18
3000,"Princess Mononoke, The (Mononoke Hime) (1997)",Action|Adventure|Animation,4.18
1967,Labyrinth (1986),Adventure|Children's|Fantasy,4.17
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,4.17
380,True Lies (1994),Action|Adventure|Comedy|Romance,4.16
1259,Stand by Me (1986),Adventure|Comedy|Drama,4.16
897,For Whom the Bell Tolls (1943),Adventure|War,4.16
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,4.16
