Movie ID,Title,Genres,Predicted Rating
2878,Hell Night (1981),Horror,4.26
1130,"Howling, The (1980)",Horror,4.26
2781,"Tingler, The (1959)",Horror,4.25
2854,Don't Look in the Basement! (1973),Horror,4.23
3305,Bluebeard (1944),Film-Noir|Horror,4.23
2548,"Rage: Carrie 2, The (1999)",Horror,4.22
3694,"Toxic Avenger, Part II, The (1989)",Comedy|Horror,4.22
3205,Black Sunday (La Maschera Del Demonio) (1960),Horror,4.21
2668,Swamp Thing (1982),Horror|Sci-Fi,4.21
1214,Alien (1979),Action|Horror|Sci-Fi|Thriller,4.21
1341,Burnt Offerings (1976),Horror,4.2
3693,"Toxic Avenger, The (1985)",Comedy|Horror,4.2
2026,Disturbing Behavior (1998),Horror|Thriller,4.2
328,Tales From the Crypt Presents: Demon Knight (1995),Horror,4.2
1105,Children of the Corn IV: The Gathering (1996),Horror,4.2
3696,Night of the Creeps (1986),Comedy|Horror|Sci-Fi,4.2
1168,Bad Moon (1996),Horror,4.2
3344,Blood Feast (1963),Horror,4.19
2515,Children of the Corn II: The Final Sacrifice (1993),Horror,4.19
1969,"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)",Horror,4.19
2465,Deadly Friend (1986),Horror,4.19
3346,Color Me Blood Red (1965),Horror,4.18
3695,"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",Comedy|Horror,4.18
1978,Friday the 13th Part V: A New Beginning (1985),Horror,4.18
3676,Eraserhead (1977),Drama|Horror,4.18
3574,Carnosaur 3: Primal Species (1996),Horror|Sci-Fi,4.18
1219,Psycho (1960),Horror|Thriller,4.18
2122,Children of the Corn (1984),Horror|Thriller,4.17
2652,"Curse of Frankenstein, The (1957)",Horror,4.17
2118,"Dead Zone, The (1983)",Horror|Thriller,4.17
1326,Amityville II: The Possession (1982),Horror,4.17
2368,King Kong Lives (1986),Action|Adventure|Horror,4.17
3340,Bride of the Monster (1956),Horror|Sci-Fi,4.17
2646,House of Dracula (1945),Horror,4.17
1996,Poltergeist III (1988),Horror|Thriller,4.17
2655,Howling II: Your Sister Is a Werewolf (1985),Horror,4.17
3732,"Fury, The (1978)",Horror,4.16
1407,Scream (1996),Horror|Thriller,4.16
3026,Slaughterhouse (1987),Horror,4.16
2783,"Tomb of Ligeia, The (1965)",Horror,4.16
1332,"Believers, The (1987)",Horror|Thriller,4.16
1336,Body Parts (1991),Horror,4.16
1984,Halloween III: Season of the Witch (1983),Horror,4.16
2710,"Blair Witch Project, The (1999)",Horror,4.16
1989,Prom Night III: The Last Kiss (1989),Horror,4.16
879,"Relic, The (1997)",Horror,4.16
1756,"Prophecy II, The (1998)",Horror,4.16
891,Halloween: The Curse of Michael Myers (1995),Horror|Thriller,4.16
1347,"Nightmare on Elm Street, A (1984)",Horror,4.16
2782,Pit and the Pendulum (1961),Horror,4.16
