Movie ID,Title,Genres,Predicted Rating
810,Kazaam (1996),Children's|Comedy|Fantasy,3.34
3042,Meatballs III (1987),Comedy,3.34
2799,Problem Child 2 (1991),Comedy,3.34
2643,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,3.34
2974,Bats (1999),Horror|Thriller,3.34
1595,Free Willy 3: The Rescue (1997),Adventure|Children's|Drama,3.34
2515,Children of the Corn II: The Final Sacrifice (1993),Horror,3.35
2555,Baby Geniuses (1999),Comedy,3.35
3877,Supergirl (1984),Action|Adventure|Fantasy,3.35
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,3.36
502,"Next Karate Kid, The (1994)",Action|Children's,3.36
2368,King Kong Lives (1986),Action|Adventure|Horror,3.36
193,Showgirls (1995),Drama,3.36
1495,Turbo: A Power Rangers Movie (1997),Action|Adventure|Children's,3.36
1998,Exorcist II: The Heretic (1977),Horror,3.37
1981,Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror,3.37
1862,Species II (1998),Horror|Sci-Fi,3.37
1599,Steel (1997),Action,3.37
2816,Iron Eagle II (1988),Action|War,3.37
1996,Poltergeist III (1988),Horror|Thriller,3.37
