Movie ID,Title,Genres,Predicted Rating
1221,"Godfather: Part II, The (1974)",Action|Crime|Drama,4.3
2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,4.29
1178,Paths of Glory (1957),Drama|War,4.27
858,"Godfather, The (1972)",Action|Crime|Drama,4.26
1211,Wings of Desire (Der Himmel über Berlin) (1987),Comedy|Drama|Romance,4.26
3307,City Lights (1931),Comedy|Drama|Romance,4.25
527,Schindler's List (1993),Drama|War,4.25
923,Citizen Kane (1941),Drama,4.25
1300,My Life as a Dog (Mitt liv som hund) (1985),Drama,4.25
678,Some Folks Call It a Sling Blade (1993),Drama|Thriller,4.25
1250,"Bridge on the River Kwai, The (1957)",Drama|War,4.25
3030,Yojimbo (1961),Comedy|Drama|Western,4.25
1213,GoodFellas (1990),Crime|Drama,4.24
926,All About Eve (1950),Drama,4.24
82,Antonia's Line (Antonia) (1995),Drama,4.24
608,Fargo (1996),Crime|Drama|Thriller,4.24
1172,Cinema Paradiso (1988),Comedy|Drama|Romance,4.24
1276,Cool Hand Luke (1967),Comedy|Drama,4.24
593,"Silence of the Lambs, The (1991)",Drama|Thriller,4.24
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama,4.24
