Movie ID,Title,Genres,Predicted Rating
1908,Resurrection Man (1998),Drama|Thriller,3.75
872,Aiqing wansui (1994),Drama,3.74
1147,When We Were Kings (1996),Documentary,3.74
2878,Hell Night (1981),Horror,3.73
50,"Usual Suspects, The (1995)",Crime|Thriller,3.72
1106,"Leopard Son, The (1996)",Documentary,3.72
3150,"War Zone, The (1999)",Drama,3.72
873,Shadow of Angels (Schatten der Engel) (1976),Drama,3.72
854,"Ballad of Narayama, The (Narayama Bushiko) (1958)",Drama,3.72
2885,Guinevere (1999),Drama|Romance,3.72
