Movie ID,Title,Genres,Predicted Rating
3042,Meatballs III (1987),Comedy,3.34
2974,Bats (1999),Horror|Thriller,3.34
2799,Problem Child 2 (1991),Comedy,3.34
502,"Next Karate Kid, The (1994)",Action|Children's,3.35
3877,Supergirl (1984),Action|Adventure|Fantasy,3.35
810,Kazaam (1996),Children's|Comedy|Fantasy,3.35
1595,Free Willy 3: The Rescue (1997),Adventure|Children's|Drama,3.35
2380,Police Academy 3: Back in Training (1986),Comedy,3.35
1981,Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror,3.36
2643,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi,3.36
2555,Baby Geniuses (1999),Comedy,3.36
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,3.36
2368,King Kong Lives (1986),Action|Adventure|Horror,3.36
3593,Battlefield Earth (2000),Action|Sci-Fi,3.36
546,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi,3.36
3945,Digimon: The Movie (2000),Adventure|Animation|Children's,3.36
2515,Children of the Corn II: The Final Sacrifice (1993),Horror,3.36
193,Showgirls (1995),Drama,3.37
2827,"Astronaut's Wife, The (1999)",Sci-Fi|Thriller,3.37
2817,Aces: Iron Eagle III (1992),Action|War,3.37
